abs_code,season,immunised,reference_population,immunisation_intensity_raw,immunisation_intensity,intensity_issue
200,2023-2024,76,42,1.80952380952381,0.995238095238095,valid
201,2023-2024,228,139,1.64028776978417,0.902158273381295,valid
202,2023-2024,358,223,1.60538116591928,0.882959641255605,valid
203,2023-2024,214,135,1.58518518518519,0.871851851851852,valid
204,2023-2024,142,91,1.56043956043956,0.858241758241758,valid
205,2023-2024,188,110,1.70909090909091,0.94,valid
206,2023-2024,230,142,1.61971830985916,0.890845070422535,valid
207,2023-2024,330,189,1.74603174603175,0.96031746031746,valid
208,2023-2024,372,213,1.74647887323944,0.96056338028169,valid
209,2023-2024,168,109,1.54128440366972,0.847706422018349,valid
210,2023-2024,222,131,1.69465648854962,0.93206106870229,valid
211,2023-2024,206,130,1.58461538461538,0.871538461538462,valid
212,2023-2024,80,50,1.6,0.88,valid
213,2023-2024,208,122,1.70491803278689,0.937704918032787,valid
214,2023-2024,154,92,1.67391304347826,0.920652173913044,valid
215,2023-2024,134,78,1.71794871794872,0.944871794871795,valid
216,2023-2024,272,163,1.66871165644172,0.917791411042945,valid
217,2023-2024,44,24,1.83333333333333,1.00833333333333,valid
218,2023-2024,196,149,1.31543624161074,0.723489932885906,valid
219,2023-2024,180,103,1.74757281553398,0.961165048543689,valid
221,2023-2024,186,107,1.73831775700935,0.95607476635514,valid
222,2023-2024,220,137,1.60583941605839,0.883211678832117,valid
223,2023-2024,178,115,1.54782608695652,0.851304347826087,valid
224,2023-2024,204,127,1.60629921259843,0.883464566929134,valid
225,2023-2024,190,114,1.66666666666667,0.916666666666667,valid
226,2023-2024,324,191,1.69633507853403,0.932984293193717,valid
228,2023-2024,38,20,1.9,1.045,valid
229,2023-2024,132,74,1.78378378378378,0.981081081081081,valid
230,2023-2024,228,131,1.74045801526718,0.957251908396947,valid
231,2023-2024,150,91,1.64835164835165,0.906593406593407,valid
232,2023-2024,78,46,1.69565217391304,0.932608695652174,valid
233,2023-2024,148,93,1.59139784946237,0.875268817204301,valid
234,2023-2024,276,169,1.63313609467456,0.898224852071006,valid
235,2023-2024,230,151,1.52317880794702,0.837748344370861,valid
236,2023-2024,134,78,1.71794871794872,0.944871794871795,valid
237,2023-2024,128,70,1.82857142857143,1.00571428571429,valid
238,2023-2024,152,97,1.56701030927835,0.861855670103093,valid
239,2023-2024,152,112,1.35714285714286,0.746428571428571,valid
240,2023-2024,228,167,1.36526946107784,0.750898203592815,valid
241,2023-2024,270,201,1.34328358208955,0.738805970149254,valid
242,2023-2024,170,112,1.51785714285714,0.834821428571429,valid
243,2023-2024,162,115,1.40869565217391,0.774782608695652,valid
244,2023-2024,140,104,1.34615384615385,0.740384615384615,valid
245,2023-2024,254,157,1.61783439490446,0.889808917197452,valid
246,2023-2024,100,65,1.53846153846154,0.846153846153846,valid
247,2023-2024,384,227,1.69162995594714,0.930396475770925,valid
248,2023-2024,432,253,1.70750988142292,0.939130434782609,valid
249,2023-2024,92,54,1.7037037037037,0.937037037037037,valid
