campanya,codi_abs,recompte,poblacio,index_socioeconomic,sexe
VRS: Campanya 2023,320,178,104,3,Home
VRS: Campanya 2023,320,170,105,3,Dona
VRS: Campanya 2023,322,46,27,4,Dona
VRS: Campanya 2023,322,50,32,4,Home
VRS: Campanya 2023,324,36,20,3,Home
VRS: Campanya 2023,324,26,15,3,Dona
VRS: Campanya 2023,325,98,59,4,Home
VRS: Campanya 2023,325,118,74,4,Dona
VRS: Campanya 2023,326,194,117,2,Dona
VRS: Campanya 2023,326,154,103,2,Home
VRS: Campanya 2023,327,96,57,4,Dona
VRS: Campanya 2023,327,122,78,4,Home
VRS: Campanya 2023,328,62,36,4,Dona
VRS: Campanya 2023,328,52,40,4,Home
VRS: Campanya 2023,329,24,16,3,Dona
VRS: Campanya 2023,329,36,21,3,Home
VRS: Campanya 2023,330,60,40,3,Dona
VRS: Campanya 2023,330,80,47,3,Home
VRS: Campanya 2023,331,86,51,2,Home
VRS: Campanya 2023,331,72,54,2,Dona
VRS: Campanya 2023,333,20,14,3,Dona
VRS: Campanya 2023,333,32,19,3,Home
VRS: Campanya 2023,334,42,22,3,Home
VRS: Campanya 2023,334,28,20,3,Dona
VRS: Campanya 2023,335,70,53,2,Home
VRS: Campanya 2023,335,68,40,2,Dona
VRS: Campanya 2023,336,116,62,4,Home
VRS: Campanya 2023,336,94,60,4,Dona
VRS: Campanya 2023,337,48,26,3,Dona
VRS: Campanya 2023,337,68,43,3,Home
VRS: Campanya 2023,338,100,62,4,Dona
VRS: Campanya 2023,338,102,59,4,Home
VRS: Campanya 2023,339,112,83,3,Home
VRS: Campanya 2023,339,104,78,3,Dona
VRS: Campanya 2023,340,120,80,4,Dona
VRS: Campanya 2023,340,134,85,4,Home
VRS: Campanya 2023,341,130,82,4,Dona
VRS: Campanya 2023,341,146,86,4,Home
VRS: Campanya 2023,342,190,107,4,Dona
VRS: Campanya 2023,342,188,106,4,Home
VRS: Campanya 2023,343,26,15,3,Home
VRS: Campanya 2023,343,20,12,3,Dona
VRS: Campanya 2023,344,86,46,3,Home
VRS: Campanya 2023,344,56,35,3,Dona
VRS: Campanya 2023,345,136,76,3,Home
VRS: Campanya 2023,345,120,63,3,Dona
VRS: Campanya 2023,346,26,14,3,Dona
VRS: Campanya 2023,346,26,14,3,Home
VRS: Campanya 2023,347,20,13,2,Dona
VRS: Campanya 2023,347,38,25,2,Home
VRS: Campanya 2023,348,106,65,3,Dona
VRS: Campanya 2023,348,112,67,3,Home
VRS: Campanya 2023,349,102,60,3,Dona
VRS: Campanya 2023,349,110,60,3,Home
VRS: Campanya 2023,350,148,89,2,Dona
VRS: Campanya 2023,350,174,101,2,Home
VRS: Campanya 2023,351,138,80,3,Dona
VRS: Campanya 2023,351,212,127,3,Home
VRS: Campanya 2023,352,76,52,4,Dona
VRS: Campanya 2023,352,64,42,4,Home
VRS: Campanya 2023,353,64,41,2,Dona
VRS: Campanya 2023,353,42,30,2,Home
VRS: Campanya 2023,354,22,13,2,Dona
VRS: Campanya 2023,354,60,34,2,Home
VRS: Campanya 2023,355,54,32,2,Home
VRS: Campanya 2023,355,38,24,2,Dona
VRS: Campanya 2023,356,144,84,3,Home
VRS: Campanya 2023,356,172,100,3,Dona
VRS: Campanya 2023,357,132,80,3,Dona
VRS: Campanya 2023,357,116,77,3,Home
VRS: Campanya 2023,358,144,78,2,Home
VRS: Campanya 2023,358,86,61,2,Dona
VRS: Campanya 2023,359,174,112,3,Home
VRS: Campanya 2023,359,132,90,3,Dona
VRS: Campanya 2023,360,178,107,3,Home
VRS: Campanya 2023,360,140,94,3,Dona
VRS: Campanya 2023,361,110,69,2,Dona
VRS: Campanya 2023,361,96,58,2,Home
VRS: Campanya 2023,362,82,48,2,Home
VRS: Campanya 2023,362,52,31,2,Dona
VRS: Campanya 2023,363,66,35,1,Home
VRS: Campanya 2023,363,56,36,1,Dona
VRS: Campanya 2023,364,64,41,2,Home
VRS: Campanya 2023,364,66,42,2,Dona
VRS: Campanya 2023,365,160,96,3,Dona
VRS: Campanya 2023,365,146,97,3,Home
VRS: Campanya 2023,366,106,71,2,Dona
VRS: Campanya 2023,366,130,87,2,Home
VRS: Campanya 2023,367,58,31,2,Home
VRS: Campanya 2023,367,72,40,2,Dona
VRS: Campanya 2023,368,126,79,4,Dona
VRS: Campanya 2023,368,166,93,4,Home
VRS: Campanya 2023,369,84,59,2,Home
VRS: Campanya 2023,369,80,51,2,Dona
VRS: Campanya 2023,370,40,26,3,Dona
VRS: Campanya 2023,370,50,33,3,Home
VRS: Campanya 2023,371,168,97,3,Home
VRS: Campanya 2023,371,122,77,3,Dona
VRS: Campanya 2023,372,104,59,3,Dona
VRS: Campanya 2023,372,122,69,3,Home
VRS: Campanya 2023,373,24,14,2,Dona
VRS: Campanya 2023,373,20,13,2,Home
VRS: Campanya 2023,374,104,64,3,Home
VRS: Campanya 2023,374,132,82,3,Dona
VRS: Campanya 2023,375,84,50,3,Home
VRS: Campanya 2023,375,80,47,3,Dona
VRS: Campanya 2023,376,110,64,3,Dona
VRS: Campanya 2023,376,120,70,3,Home
VRS: Campanya 2023,377,64,43,3,Home
VRS: Campanya 2023,377,60,33,3,Dona
VRS: Campanya 2023,378,94,60,3,Dona
VRS: Campanya 2023,378,86,52,3,Home
VRS: Campanya 2023,379,100,61,3,Dona
VRS: Campanya 2023,379,124,72,3,Home
VRS: Campanya 2023,380,90,62,3,Home
VRS: Campanya 2023,380,88,53,3,Dona
VRS: Campanya 2023,383,98,58,3,Dona
VRS: Campanya 2023,383,74,49,3,Home
VRS: Campanya 2023,384,82,47,3,Home
VRS: Campanya 2023,384,72,42,3,Dona
VRS: Campanya 2023,385,124,76,3,Home
VRS: Campanya 2023,385,108,63,3,Dona
VRS: Campanya 2023,386,114,64,3,Dona
VRS: Campanya 2023,386,88,48,3,Home
VRS: Campanya 2023,387,64,34,3,Dona
VRS: Campanya 2023,387,88,49,3,Home
VRS: Campanya 2023,388,154,93,1,Dona
VRS: Campanya 2023,388,112,72,1,Home
VRS: Campanya 2023,389,110,68,1,Home
VRS: Campanya 2023,389,118,68,1,Dona
VRS: Campanya 2023,390,204,124,1,Home
VRS: Campanya 2023,390,200,127,1,Dona
VRS: Campanya 2023,391,52,36,3,Dona
VRS: Campanya 2023,391,56,34,3,Home
VRS: Campanya 2023,392,124,70,3,Home
VRS: Campanya 2023,392,76,46,3,Dona
VRS: Campanya 2023,393,94,68,3,Home
VRS: Campanya 2023,393,80,51,3,Dona
VRS: Campanya 2023,394,70,53,3,Home
VRS: Campanya 2023,394,122,82,3,Dona
VRS: Campanya 2023,395,154,86,2,Home
VRS: Campanya 2023,395,176,105,2,Dona
VRS: Campanya 2023,396,114,69,2,Home
VRS: Campanya 2023,396,128,75,2,Dona
VRS: Campanya 2023,397,64,52,3,Home
VRS: Campanya 2023,397,78,67,3,Dona
VRS: Campanya 2023,398,148,95,3,Home
VRS: Campanya 2023,398,132,98,3,Dona
VRS: Campanya 2023,399,72,41,-1,Dona
VRS: Campanya 2023,399,50,34,-1,Home
VRS: Campanya 2023,400,120,75,3,Dona
VRS: Campanya 2023,400,144,88,3,Home
VRS: Campanya 2023,401,124,75,3,Home
VRS: Campanya 2023,401,102,56,3,Dona
VRS: Campanya 2023,402,76,50,3,Home
VRS: Campanya 2023,402,100,51,3,Dona
VRS: Campanya 2023,403,122,77,3,Dona
VRS: Campanya 2023,403,138,78,3,Home
VRS: Campanya 2023,404,124,71,-1,Dona
VRS: Campanya 2023,404,130,71,-1,Home
VRS: Campanya 2023,405,56,38,-1,Home
VRS: Campanya 2023,405,80,54,-1,Dona
VRS: Campanya 2023,406,66,56,-1,Dona
VRS: Campanya 2023,406,112,76,-1,Home
VRS: Campanya 2023,408,68,39,-1,Home
VRS: Campanya 2023,408,52,30,-1,Dona
VRS: Campanya 2024,0,36,22,-1,Dona
VRS: Campanya 2024,0,46,26,-1,Home
VRS: Campanya 2024,1,40,21,3,Home
VRS: Campanya 2024,1,62,32,3,Dona
VRS: Campanya 2024,2,118,60,4,Dona
VRS: Campanya 2024,2,120,60,4,Home
VRS: Campanya 2024,3,68,36,4,Home
VRS: Campanya 2024,3,48,26,4,Dona
VRS: Campanya 2024,4,156,88,4,Home
VRS: Campanya 2024,4,156,87,4,Dona
VRS: Campanya 2024,5,66,36,3,Home
VRS: Campanya 2024,5,100,52,3,Dona
VRS: Campanya 2024,7,54,31,3,Home
VRS: Campanya 2024,7,34,20,3,Dona
VRS: Campanya 2024,8,82,46,3,Dona
VRS: Campanya 2024,8,64,39,3,Home
VRS: Campanya 2024,9,128,69,3,Home
VRS: Campanya 2024,9,118,65,3,Dona
VRS: Campanya 2024,10,86,51,2,Dona
VRS: Campanya 2024,10,120,68,2,Home
VRS: Campanya 2024,11,74,40,3,Dona
VRS: Campanya 2024,11,58,33,3,Home
VRS: Campanya 2024,12,22,11,3,Dona
VRS: Campanya 2024,12,18,9,3,Home
VRS: Campanya 2024,13,260,149,4,Dona
VRS: Campanya 2024,13,242,151,4,Home
VRS: Campanya 2024,14,176,105,4,Home
VRS: Campanya 2024,14,108,64,4,Dona
VRS: Campanya 2024,15,194,110,3,Home
VRS: Campanya 2024,15,162,91,3,Dona
VRS: Campanya 2024,16,48,29,4,Home
VRS: Campanya 2024,16,38,24,4,Dona
VRS: Campanya 2024,17,108,59,3,Home
VRS: Campanya 2024,17,104,56,3,Dona
VRS: Campanya 2024,18,78,40,3,Home
VRS: Campanya 2024,18,50,30,3,Dona
VRS: Campanya 2024,19,236,124,4,Dona
VRS: Campanya 2024,19,222,122,4,Home
VRS: Campanya 2024,20,160,86,4,Dona
VRS: Campanya 2024,20,162,90,4,Home
VRS: Campanya 2024,21,200,109,2,Home
VRS: Campanya 2024,21,160,85,2,Dona
VRS: Campanya 2024,22,118,68,2,Dona
VRS: Campanya 2024,22,150,87,2,Home
VRS: Campanya 2024,23,160,91,1,Dona
VRS: Campanya 2024,23,216,116,1,Home
VRS: Campanya 2024,24,72,44,2,Dona
VRS: Campanya 2024,24,70,43,2,Home
VRS: Campanya 2024,25,188,103,1,Dona
VRS: Campanya 2024,25,196,106,1,Home
VRS: Campanya 2024,27,118,63,1,Home
VRS: Campanya 2024,27,92,59,1,Dona
VRS: Campanya 2024,28,128,67,2,Home
VRS: Campanya 2024,28,124,67,2,Dona
VRS: Campanya 2024,29,96,49,2,Home
VRS: Campanya 2024,29,94,49,2,Dona
VRS: Campanya 2024,30,128,73,2,Dona
VRS: Campanya 2024,30,130,71,2,Home
VRS: Campanya 2024,31,122,73,2,Dona
VRS: Campanya 2024,31,148,78,2,Home
VRS: Campanya 2024,32,162,84,3,Dona
VRS: Campanya 2024,32,130,72,3,Home
VRS: Campanya 2024,33,102,54,3,Dona
VRS: Campanya 2024,33,130,70,3,Home
VRS: Campanya 2024,34,106,60,4,Dona
VRS: Campanya 2024,34,96,50,4,Home
VRS: Campanya 2024,35,148,84,3,Dona
VRS: Campanya 2024,35,206,115,3,Home
VRS: Campanya 2024,36,114,73,3,Dona
VRS: Campanya 2024,36,154,85,3,Home
VRS: Campanya 2024,38,128,70,2,Home
VRS: Campanya 2024,38,150,87,2,Dona
VRS: Campanya 2024,39,156,86,1,Home
VRS: Campanya 2024,39,146,80,1,Dona
VRS: Campanya 2024,40,76,45,1,Dona
VRS: Campanya 2024,40,98,55,1,Home
VRS: Campanya 2024,41,170,93,1,Dona
VRS: Campanya 2024,41,152,90,1,Home
VRS: Campanya 2024,42,162,88,1,Dona
VRS: Campanya 2024,42,184,101,1,Home
VRS: Campanya 2024,43,234,125,1,Home
VRS: Campanya 2024,43,242,133,1,Dona
VRS: Campanya 2024,44,140,79,1,Dona
VRS: Campanya 2024,44,126,75,1,Home
VRS: Campanya 2024,45,88,50,1,Home
VRS: Campanya 2024,45,78,47,1,Dona
VRS: Campanya 2024,46,196,108,1,Home
VRS: Campanya 2024,46,178,96,1,Dona
VRS: Campanya 2024,47,192,101,2,Home
VRS: Campanya 2024,47,148,82,2,Dona
VRS: Campanya 2024,48,138,84,2,Dona
VRS: Campanya 2024,48,144,80,2,Home
VRS: Campanya 2024,49,116,62,2,Home
VRS: Campanya 2024,49,108,62,2,Dona
VRS: Campanya 2024,50,120,63,2,Dona
VRS: Campanya 2024,50,116,64,2,Home
VRS: Campanya 2024,51,128,70,2,Home
VRS: Campanya 2024,51,120,66,2,Dona
VRS: Campanya 2024,52,110,58,2,Home
VRS: Campanya 2024,52,108,63,2,Dona
VRS: Campanya 2024,53,100,54,3,Home
VRS: Campanya 2024,53,122,65,3,Dona
VRS: Campanya 2024,54,188,95,3,Dona
VRS: Campanya 2024,54,148,81,3,Home
VRS: Campanya 2024,55,150,81,3,Home
VRS: Campanya 2024,55,174,93,3,Dona
VRS: Campanya 2024,56,108,57,2,Home
VRS: Campanya 2024,56,118,69,2,Dona
VRS: Campanya 2024,59,150,77,3,Home
VRS: Campanya 2024,59,168,90,3,Dona
VRS: Campanya 2024,62,90,48,3,Dona
VRS: Campanya 2024,62,110,58,3,Home
VRS: Campanya 2024,63,114,59,4,Home
VRS: Campanya 2024,63,100,56,4,Dona
VRS: Campanya 2024,64,122,65,4,Home
VRS: Campanya 2024,64,126,67,4,Dona
VRS: Campanya 2024,65,182,103,2,Dona
VRS: Campanya 2024,65,216,119,2,Home
VRS: Campanya 2024,67,216,119,2,Dona
VRS: Campanya 2024,67,184,98,2,Home
VRS: Campanya 2024,69,98,52,4,Home
VRS: Campanya 2024,69,74,38,4,Dona
VRS: Campanya 2024,70,78,44,4,Dona
VRS: Campanya 2024,70,96,55,4,Home
VRS: Campanya 2024,71,172,95,2,Home
VRS: Campanya 2024,71,154,88,2,Dona
VRS: Campanya 2024,72,152,86,2,Dona
VRS: Campanya 2024,72,158,95,2,Home
VRS: Campanya 2024,73,150,78,2,Home
VRS: Campanya 2024,73,142,78,2,Dona
VRS: Campanya 2024,74,188,98,4,Dona
VRS: Campanya 2024,74,158,86,4,Home
VRS: Campanya 2024,75,88,46,2,Dona
VRS: Campanya 2024,75,98,61,2,Home
VRS: Campanya 2024,76,126,69,2,Dona
VRS: Campanya 2024,76,108,63,2,Home
VRS: Campanya 2024,77,136,73,2,Dona
VRS: Campanya 2024,77,114,58,2,Home
VRS: Campanya 2024,78,110,57,3,Dona
VRS: Campanya 2024,78,114,59,3,Home
VRS: Campanya 2024,79,80,47,4,Home
VRS: Campanya 2024,79,92,50,4,Dona
VRS: Campanya 2024,80,26,13,3,Home
VRS: Campanya 2024,80,28,14,3,Dona
VRS: Campanya 2024,81,54,28,3,Home
VRS: Campanya 2024,81,54,30,3,Dona
VRS: Campanya 2024,82,134,73,3,Home
VRS: Campanya 2024,82,136,71,3,Dona
VRS: Campanya 2024,83,22,14,3,Dona
VRS: Campanya 2024,83,32,17,3,Home
VRS: Campanya 2024,84,90,49,3,Home
VRS: Campanya 2024,84,98,55,3,Dona
VRS: Campanya 2024,85,182,101,3,Dona
VRS: Campanya 2024,85,226,119,3,Home
VRS: Campanya 2024,86,84,44,3,Dona
VRS: Campanya 2024,86,84,42,3,Home
VRS: Campanya 2024,87,40,20,3,Dona
VRS: Campanya 2024,87,54,30,3,Home
VRS: Campanya 2024,88,50,27,3,Home
VRS: Campanya 2024,88,46,26,3,Dona
VRS: Campanya 2024,89,136,72,3,Dona
VRS: Campanya 2024,89,104,58,3,Home
VRS: Campanya 2024,90,104,56,4,Dona
VRS: Campanya 2024,90,82,44,4,Home
VRS: Campanya 2024,91,214,112,3,Home
VRS: Campanya 2024,91,176,95,3,Dona
VRS: Campanya 2024,92,12,7,3,Dona
VRS: Campanya 2024,92,12,8,3,Home
VRS: Campanya 2024,93,82,47,3,Dona
VRS: Campanya 2024,93,110,60,3,Home
VRS: Campanya 2024,95,84,44,2,Dona
VRS: Campanya 2024,95,114,64,2,Home
VRS: Campanya 2024,96,22,12,3,Dona
VRS: Campanya 2024,96,22,11,3,Home
VRS: Campanya 2024,97,80,43,2,Dona
VRS: Campanya 2024,97,160,90,2,Home
VRS: Campanya 2024,98,94,50,3,Dona
VRS: Campanya 2024,98,84,47,3,Home
VRS: Campanya 2024,100,210,111,3,Dona
VRS: Campanya 2024,100,180,96,3,Home
VRS: Campanya 2024,101,44,26,3,Dona
VRS: Campanya 2024,101,44,27,3,Home
VRS: Campanya 2024,102,74,40,3,Home
VRS: Campanya 2024,102,68,37,3,Dona
VRS: Campanya 2024,103,98,54,3,Dona
VRS: Campanya 2024,103,108,65,3,Home
VRS: Campanya 2024,104,110,56,2,Home
VRS: Campanya 2024,104,94,48,2,Dona
VRS: Campanya 2024,105,114,61,2,Home
VRS: Campanya 2024,105,76,41,2,Dona
VRS: Campanya 2024,106,58,32,3,Home
VRS: Campanya 2024,106,88,47,3,Dona
VRS: Campanya 2024,107,60,34,4,Home
VRS: Campanya 2024,107,62,38,4,Dona
VRS: Campanya 2024,108,174,91,3,Dona
VRS: Campanya 2024,108,158,85,3,Home
VRS: Campanya 2024,109,172,91,4,Dona
VRS: Campanya 2024,109,174,94,4,Home
VRS: Campanya 2024,110,72,42,3,Home
VRS: Campanya 2024,110,58,32,3,Dona
VRS: Campanya 2024,111,130,66,3,Home
VRS: Campanya 2024,111,82,43,3,Dona
VRS: Campanya 2024,112,4,4,3,Home
VRS: Campanya 2024,112,10,5,3,Dona
VRS: Campanya 2024,113,86,47,4,Home
VRS: Campanya 2024,113,78,43,4,Dona
VRS: Campanya 2024,114,66,35,4,Dona
VRS: Campanya 2024,114,100,55,4,Home
VRS: Campanya 2024,115,182,102,3,Home
VRS: Campanya 2024,115,146,82,3,Dona
VRS: Campanya 2024,116,98,49,3,Home
VRS: Campanya 2024,116,94,47,3,Dona
VRS: Campanya 2024,117,118,72,2,Dona
VRS: Campanya 2024,117,120,66,2,Home
VRS: Campanya 2024,118,40,21,3,Dona
VRS: Campanya 2024,118,36,18,3,Home
VRS: Campanya 2024,119,302,164,4,Home
VRS: Campanya 2024,119,328,181,4,Dona
VRS: Campanya 2024,120,16,9,3,Home
VRS: Campanya 2024,120,16,9,3,Dona
VRS: Campanya 2024,121,170,91,2,Home
VRS: Campanya 2024,121,130,65,2,Dona
VRS: Campanya 2024,122,88,50,3,Home
VRS: Campanya 2024,122,98,51,3,Dona
VRS: Campanya 2024,123,146,79,2,Dona
VRS: Campanya 2024,123,134,78,2,Home
VRS: Campanya 2024,124,144,83,2,Home
VRS: Campanya 2024,124,104,60,2,Dona
VRS: Campanya 2024,125,214,116,3,Dona
VRS: Campanya 2024,125,254,134,3,Home
VRS: Campanya 2024,126,206,112,2,Home
VRS: Campanya 2024,126,244,131,2,Dona
VRS: Campanya 2024,127,82,47,3,Dona
VRS: Campanya 2024,127,82,46,3,Home
VRS: Campanya 2024,128,72,41,3,Home
VRS: Campanya 2024,128,58,31,3,Dona
VRS: Campanya 2024,129,6,3,3,Dona
VRS: Campanya 2024,129,16,9,3,Home
VRS: Campanya 2024,130,18,10,3,Dona
VRS: Campanya 2024,130,10,6,3,Home
VRS: Campanya 2024,131,54,30,3,Dona
VRS: Campanya 2024,131,52,31,3,Home
VRS: Campanya 2024,133,54,29,3,Dona
VRS: Campanya 2024,133,42,23,3,Home
VRS: Campanya 2024,134,28,14,3,Home
VRS: Campanya 2024,134,30,17,3,Dona
VRS: Campanya 2024,135,170,91,4,Dona
VRS: Campanya 2024,135,146,75,4,Home
VRS: Campanya 2024,136,156,84,4,Dona
VRS: Campanya 2024,136,182,94,4,Home
VRS: Campanya 2024,137,114,60,2,Dona
VRS: Campanya 2024,137,150,79,2,Home
VRS: Campanya 2024,138,154,86,3,Home
VRS: Campanya 2024,138,152,81,3,Dona
VRS: Campanya 2024,139,128,66,3,Home
VRS: Campanya 2024,139,90,48,3,Dona
VRS: Campanya 2024,140,88,46,4,Dona
VRS: Campanya 2024,140,110,56,4,Home
VRS: Campanya 2024,141,124,68,3,Home
VRS: Campanya 2024,141,170,87,3,Dona
VRS: Campanya 2024,142,202,115,4,Dona
VRS: Campanya 2024,142,228,127,4,Home
VRS: Campanya 2024,143,88,51,4,Dona
VRS: Campanya 2024,143,150,79,4,Home
VRS: Campanya 2024,144,138,77,4,Dona
VRS: Campanya 2024,144,142,76,4,Home
VRS: Campanya 2024,145,140,75,4,Dona
VRS: Campanya 2024,145,176,94,4,Home
VRS: Campanya 2024,146,138,74,3,Dona
VRS: Campanya 2024,146,126,67,3,Home
VRS: Campanya 2024,147,82,42,3,Dona
VRS: Campanya 2024,147,78,42,3,Home
VRS: Campanya 2024,148,124,65,4,Dona
VRS: Campanya 2024,148,114,60,4,Home
VRS: Campanya 2024,149,182,94,3,Dona
VRS: Campanya 2024,149,216,113,3,Home
VRS: Campanya 2024,150,62,33,3,Dona
VRS: Campanya 2024,150,80,41,3,Home
VRS: Campanya 2024,152,98,56,2,Home
VRS: Campanya 2024,152,94,51,2,Dona
VRS: Campanya 2024,153,116,61,3,Home
VRS: Campanya 2024,153,96,51,3,Dona
VRS: Campanya 2024,154,114,69,4,Home
VRS: Campanya 2024,154,106,62,4,Dona
VRS: Campanya 2024,155,94,51,3,Home
VRS: Campanya 2024,155,104,55,3,Dona
VRS: Campanya 2024,156,116,64,4,Dona
VRS: Campanya 2024,156,108,60,4,Home
VRS: Campanya 2024,157,66,39,4,Dona
VRS: Campanya 2024,157,128,70,4,Home
VRS: Campanya 2024,158,72,39,4,Home
VRS: Campanya 2024,158,74,37,4,Dona
VRS: Campanya 2024,159,52,28,3,Home
VRS: Campanya 2024,159,64,34,3,Dona
VRS: Campanya 2024,160,196,99,2,Dona
VRS: Campanya 2024,160,164,85,2,Home
VRS: Campanya 2024,161,222,123,3,Home
VRS: Campanya 2024,161,228,127,3,Dona
VRS: Campanya 2024,162,66,36,3,Dona
VRS: Campanya 2024,162,100,50,3,Home
VRS: Campanya 2024,163,102,56,4,Dona
VRS: Campanya 2024,163,78,43,4,Home
VRS: Campanya 2024,164,152,88,3,Dona
VRS: Campanya 2024,164,186,97,3,Home
VRS: Campanya 2024,165,54,30,3,Dona
VRS: Campanya 2024,165,78,42,3,Home
VRS: Campanya 2024,166,104,52,3,Home
VRS: Campanya 2024,166,74,39,3,Dona
VRS: Campanya 2024,167,60,31,3,Home
VRS: Campanya 2024,167,48,25,3,Dona
VRS: Campanya 2024,168,112,60,3,Dona
VRS: Campanya 2024,168,152,79,3,Home
VRS: Campanya 2024,169,14,7,3,Dona
VRS: Campanya 2024,169,24,12,3,Home
VRS: Campanya 2024,171,218,113,3,Home
VRS: Campanya 2024,171,242,122,3,Dona
VRS: Campanya 2024,172,194,103,4,Dona
VRS: Campanya 2024,172,198,102,4,Home
VRS: Campanya 2024,173,132,70,3,Dona
VRS: Campanya 2024,173,140,71,3,Home
VRS: Campanya 2024,174,38,22,3,Home
VRS: Campanya 2024,174,22,14,3,Dona
VRS: Campanya 2024,175,62,37,3,Dona
VRS: Campanya 2024,175,98,60,3,Home
VRS: Campanya 2024,177,32,19,3,Dona
VRS: Campanya 2024,177,48,26,3,Home
VRS: Campanya 2024,178,58,33,3,Home
VRS: Campanya 2024,178,54,29,3,Dona
VRS: Campanya 2024,179,28,17,3,Home
VRS: Campanya 2024,179,38,20,3,Dona
VRS: Campanya 2024,180,6,3,3,Dona
VRS: Campanya 2024,180,16,10,3,Home
VRS: Campanya 2024,181,18,10,3,Dona
VRS: Campanya 2024,181,26,13,3,Home
VRS: Campanya 2024,182,100,54,3,Dona
VRS: Campanya 2024,182,100,52,3,Home
VRS: Campanya 2024,183,202,103,3,Home
VRS: Campanya 2024,183,196,103,3,Dona
VRS: Campanya 2024,184,76,41,4,Dona
VRS: Campanya 2024,184,54,29,4,Home
VRS: Campanya 2024,185,44,23,3,Home
VRS: Campanya 2024,185,30,15,3,Dona
VRS: Campanya 2024,186,144,84,3,Dona
VRS: Campanya 2024,186,230,126,3,Home
VRS: Campanya 2024,187,68,38,3,Dona
VRS: Campanya 2024,187,68,37,3,Home
VRS: Campanya 2024,188,110,57,3,Dona
VRS: Campanya 2024,188,92,49,3,Home
VRS: Campanya 2024,189,150,90,4,Dona
VRS: Campanya 2024,189,174,94,4,Home
VRS: Campanya 2024,190,216,109,1,Home
VRS: Campanya 2024,190,220,116,1,Dona
VRS: Campanya 2024,191,132,72,3,Home
VRS: Campanya 2024,191,122,67,3,Dona
VRS: Campanya 2024,192,180,96,3,Home
VRS: Campanya 2024,192,162,85,3,Dona
VRS: Campanya 2024,193,126,65,4,Home
VRS: Campanya 2024,193,116,63,4,Dona
VRS: Campanya 2024,194,72,37,4,Dona
VRS: Campanya 2024,194,88,48,4,Home
VRS: Campanya 2024,196,144,75,3,Home
VRS: Campanya 2024,196,148,80,3,Dona
VRS: Campanya 2024,197,190,101,4,Dona
VRS: Campanya 2024,197,240,126,4,Home
VRS: Campanya 2024,198,92,50,4,Dona
VRS: Campanya 2024,198,78,45,4,Home
VRS: Campanya 2024,199,340,183,4,Dona
VRS: Campanya 2024,199,350,182,4,Home
VRS: Campanya 2024,200,36,21,3,Home
VRS: Campanya 2024,200,34,20,3,Dona
VRS: Campanya 2024,201,172,90,3,Home
VRS: Campanya 2024,201,126,68,3,Dona
VRS: Campanya 2024,202,172,96,3,Home
VRS: Campanya 2024,202,186,99,3,Dona
VRS: Campanya 2024,203,96,52,3,Home
VRS: Campanya 2024,203,152,79,3,Dona
VRS: Campanya 2024,204,72,39,4,Home
VRS: Campanya 2024,204,76,40,4,Dona
VRS: Campanya 2024,205,124,66,3,Home
VRS: Campanya 2024,205,112,58,3,Dona
VRS: Campanya 2024,206,140,74,3,Dona
VRS: Campanya 2024,206,138,77,3,Home
VRS: Campanya 2024,207,156,94,3,Home
VRS: Campanya 2024,207,194,108,3,Dona
VRS: Campanya 2024,208,186,98,3,Home
VRS: Campanya 2024,208,190,100,3,Dona
VRS: Campanya 2024,209,106,57,2,Home
VRS: Campanya 2024,209,108,57,2,Dona
VRS: Campanya 2024,210,156,83,2,Home
VRS: Campanya 2024,210,118,67,2,Dona
VRS: Campanya 2024,211,74,37,2,Dona
VRS: Campanya 2024,211,76,41,2,Home
VRS: Campanya 2024,212,52,27,3,Home
VRS: Campanya 2024,212,38,20,3,Dona
VRS: Campanya 2024,213,122,69,2,Dona
VRS: Campanya 2024,213,112,60,2,Home
VRS: Campanya 2024,214,120,64,3,Home
VRS: Campanya 2024,214,124,66,3,Dona
VRS: Campanya 2024,215,58,29,3,Dona
VRS: Campanya 2024,215,90,49,3,Home
VRS: Campanya 2024,216,146,78,1,Home
VRS: Campanya 2024,216,116,59,1,Dona
VRS: Campanya 2024,217,22,12,3,Dona
VRS: Campanya 2024,217,28,14,3,Home
VRS: Campanya 2024,218,114,66,3,Home
VRS: Campanya 2024,218,108,59,3,Dona
VRS: Campanya 2024,219,86,49,3,Home
VRS: Campanya 2024,219,82,43,3,Dona
VRS: Campanya 2024,221,98,53,3,Dona
VRS: Campanya 2024,221,100,50,3,Home
VRS: Campanya 2024,222,130,68,3,Dona
VRS: Campanya 2024,222,124,69,3,Home
VRS: Campanya 2024,223,98,53,4,Home
VRS: Campanya 2024,223,82,45,4,Dona
VRS: Campanya 2024,224,86,50,4,Home
VRS: Campanya 2024,224,90,50,4,Dona
VRS: Campanya 2024,225,130,69,3,Home
VRS: Campanya 2024,225,142,77,3,Dona
VRS: Campanya 2024,226,184,97,4,Dona
VRS: Campanya 2024,226,188,105,4,Home
VRS: Campanya 2024,228,16,9,3,Home
VRS: Campanya 2024,228,30,15,3,Dona
VRS: Campanya 2024,229,72,38,4,Dona
VRS: Campanya 2024,229,100,51,4,Home
VRS: Campanya 2024,230,126,69,3,Home
VRS: Campanya 2024,230,126,71,3,Dona
VRS: Campanya 2024,231,78,41,3,Home
