campanya,codi_abs,recompte,poblacio,index_socioeconomic,sexe
VRS: Campanya 2023,112,12,6,3,Home
VRS: Campanya 2023,112,8,5,3,Dona
VRS: Campanya 2023,113,88,49,4,Dona
VRS: Campanya 2023,113,74,45,4,Home
VRS: Campanya 2023,114,76,42,4,Dona
VRS: Campanya 2023,114,78,45,4,Home
VRS: Campanya 2023,115,172,98,3,Home
VRS: Campanya 2023,115,138,82,3,Dona
VRS: Campanya 2023,116,102,60,3,Dona
VRS: Campanya 2023,116,122,67,3,Home
VRS: Campanya 2023,117,90,56,2,Dona
VRS: Campanya 2023,117,138,81,2,Home
VRS: Campanya 2023,118,28,20,3,Dona
VRS: Campanya 2023,118,18,14,3,Home
VRS: Campanya 2023,119,348,218,4,Home
VRS: Campanya 2023,119,254,167,4,Dona
VRS: Campanya 2023,120,26,16,3,Home
VRS: Campanya 2023,120,24,15,3,Dona
VRS: Campanya 2023,121,120,64,2,Dona
VRS: Campanya 2023,121,168,92,2,Home
VRS: Campanya 2023,122,136,81,3,Home
VRS: Campanya 2023,122,112,64,3,Dona
VRS: Campanya 2023,123,110,70,2,Home
VRS: Campanya 2023,123,122,81,2,Dona
VRS: Campanya 2023,124,102,65,2,Dona
VRS: Campanya 2023,124,108,63,2,Home
VRS: Campanya 2023,125,178,106,3,Home
VRS: Campanya 2023,125,168,104,3,Dona
VRS: Campanya 2023,126,224,124,2,Dona
VRS: Campanya 2023,126,204,119,2,Home
VRS: Campanya 2023,127,74,48,3,Dona
VRS: Campanya 2023,127,72,41,3,Home
VRS: Campanya 2023,128,58,33,3,Dona
VRS: Campanya 2023,128,66,42,3,Home
VRS: Campanya 2023,129,12,7,3,Dona
VRS: Campanya 2023,129,16,8,3,Home
VRS: Campanya 2023,130,16,8,3,Dona
VRS: Campanya 2023,130,4,6,3,Home
VRS: Campanya 2023,131,50,28,3,Home
VRS: Campanya 2023,131,42,31,3,Dona
VRS: Campanya 2023,133,20,21,3,Dona
VRS: Campanya 2023,133,28,23,3,Home
VRS: Campanya 2023,134,34,23,3,Home
VRS: Campanya 2023,134,22,14,3,Dona
VRS: Campanya 2023,135,146,79,4,Dona
VRS: Campanya 2023,135,130,84,4,Home
VRS: Campanya 2023,136,158,93,4,Home
VRS: Campanya 2023,136,160,94,4,Dona
VRS: Campanya 2023,137,94,54,2,Dona
VRS: Campanya 2023,137,128,69,2,Home
VRS: Campanya 2023,138,124,76,3,Dona
VRS: Campanya 2023,138,160,88,3,Home
VRS: Campanya 2023,139,112,67,3,Home
VRS: Campanya 2023,139,104,57,3,Dona
VRS: Campanya 2023,140,92,60,4,Home
VRS: Campanya 2023,140,98,56,4,Dona
VRS: Campanya 2023,141,126,75,3,Home
VRS: Campanya 2023,141,162,86,3,Dona
VRS: Campanya 2023,142,170,105,4,Dona
VRS: Campanya 2023,142,202,126,4,Home
VRS: Campanya 2023,143,150,88,4,Home
VRS: Campanya 2023,143,88,55,4,Dona
VRS: Campanya 2023,144,132,80,4,Dona
VRS: Campanya 2023,144,128,77,4,Home
VRS: Campanya 2023,145,152,86,4,Home
VRS: Campanya 2023,145,136,79,4,Dona
VRS: Campanya 2023,146,116,63,3,Home
VRS: Campanya 2023,146,114,63,3,Dona
VRS: Campanya 2023,147,90,49,3,Home
VRS: Campanya 2023,147,76,40,3,Dona
VRS: Campanya 2023,148,120,72,4,Home
VRS: Campanya 2023,148,66,40,4,Dona
VRS: Campanya 2023,149,162,103,3,Dona
VRS: Campanya 2023,149,156,99,3,Home
VRS: Campanya 2023,150,78,49,3,Home
VRS: Campanya 2023,150,72,40,3,Dona
VRS: Campanya 2023,152,110,60,2,Home
VRS: Campanya 2023,152,104,59,2,Dona
VRS: Campanya 2023,153,88,54,3,Dona
VRS: Campanya 2023,153,110,58,3,Home
VRS: Campanya 2023,154,106,72,4,Dona
VRS: Campanya 2023,154,142,88,4,Home
VRS: Campanya 2023,155,98,55,3,Dona
VRS: Campanya 2023,155,104,55,3,Home
VRS: Campanya 2023,156,110,66,4,Home
VRS: Campanya 2023,156,126,70,4,Dona
VRS: Campanya 2023,157,82,50,4,Home
VRS: Campanya 2023,157,88,51,4,Dona
VRS: Campanya 2023,158,66,40,4,Home
VRS: Campanya 2023,158,86,49,4,Dona
VRS: Campanya 2023,159,50,29,3,Dona
VRS: Campanya 2023,159,44,30,3,Home
VRS: Campanya 2023,160,170,100,2,Dona
VRS: Campanya 2023,160,174,104,2,Home
VRS: Campanya 2023,161,206,120,3,Home
VRS: Campanya 2023,161,228,133,3,Dona
VRS: Campanya 2023,162,78,45,3,Dona
VRS: Campanya 2023,162,70,40,3,Home
VRS: Campanya 2023,163,74,43,4,Dona
VRS: Campanya 2023,163,74,42,4,Home
VRS: Campanya 2023,164,186,107,3,Home
VRS: Campanya 2023,164,156,93,3,Dona
VRS: Campanya 2023,165,74,50,3,Home
VRS: Campanya 2023,165,78,48,3,Dona
VRS: Campanya 2023,166,82,56,3,Home
VRS: Campanya 2023,166,48,45,3,Dona
VRS: Campanya 2023,167,42,23,3,Home
VRS: Campanya 2023,167,26,13,3,Dona
VRS: Campanya 2023,168,134,80,3,Home
VRS: Campanya 2023,168,82,51,3,Dona
VRS: Campanya 2023,169,16,9,3,Home
VRS: Campanya 2023,169,18,12,3,Dona
VRS: Campanya 2023,171,230,124,3,Dona
VRS: Campanya 2023,171,248,132,3,Home
VRS: Campanya 2023,172,144,92,4,Dona
VRS: Campanya 2023,172,118,69,4,Home
VRS: Campanya 2023,173,140,77,3,Dona
VRS: Campanya 2023,173,134,82,3,Home
VRS: Campanya 2023,174,36,21,3,Dona
VRS: Campanya 2023,174,28,15,3,Home
VRS: Campanya 2023,175,90,51,3,Home
VRS: Campanya 2023,175,74,45,3,Dona
VRS: Campanya 2023,177,26,17,3,Dona
VRS: Campanya 2023,177,40,26,3,Home
VRS: Campanya 2023,178,56,35,3,Dona
VRS: Campanya 2023,178,34,24,3,Home
VRS: Campanya 2023,179,24,17,3,Dona
VRS: Campanya 2023,179,28,18,3,Home
VRS: Campanya 2023,180,12,7,3,Home
VRS: Campanya 2023,180,14,11,3,Dona
VRS: Campanya 2023,181,8,5,3,Home
VRS: Campanya 2023,181,12,8,3,Dona
VRS: Campanya 2023,182,156,95,3,Home
VRS: Campanya 2023,182,102,59,3,Dona
VRS: Campanya 2023,183,154,89,3,Dona
VRS: Campanya 2023,183,144,90,3,Home
VRS: Campanya 2023,184,58,38,4,Dona
VRS: Campanya 2023,184,82,48,4,Home
VRS: Campanya 2023,185,36,25,3,Home
VRS: Campanya 2023,185,30,20,3,Dona
VRS: Campanya 2023,186,160,98,3,Home
VRS: Campanya 2023,186,150,94,3,Dona
VRS: Campanya 2023,187,92,54,3,Home
VRS: Campanya 2023,187,78,42,3,Dona
VRS: Campanya 2023,188,66,38,3,Dona
VRS: Campanya 2023,188,68,42,3,Home
VRS: Campanya 2023,189,106,84,4,Dona
VRS: Campanya 2023,189,146,96,4,Home
VRS: Campanya 2023,190,182,106,1,Home
VRS: Campanya 2023,190,166,101,1,Dona
VRS: Campanya 2023,191,112,62,3,Home
VRS: Campanya 2023,191,130,69,3,Dona
VRS: Campanya 2023,192,152,82,3,Dona
VRS: Campanya 2023,192,172,91,3,Home
VRS: Campanya 2023,193,138,76,4,Dona
VRS: Campanya 2023,193,90,50,4,Home
VRS: Campanya 2023,194,98,56,4,Home
VRS: Campanya 2023,194,106,62,4,Dona
VRS: Campanya 2023,196,154,84,3,Dona
VRS: Campanya 2023,196,172,96,3,Home
VRS: Campanya 2023,197,190,110,4,Dona
VRS: Campanya 2023,197,214,121,4,Home
VRS: Campanya 2023,198,66,44,4,Dona
VRS: Campanya 2023,198,96,54,4,Home
VRS: Campanya 2023,199,350,200,4,Home
VRS: Campanya 2023,199,278,169,4,Dona
VRS: Campanya 2023,200,54,29,3,Dona
VRS: Campanya 2023,200,22,13,3,Home
VRS: Campanya 2023,201,108,65,3,Dona
VRS: Campanya 2023,201,120,74,3,Home
VRS: Campanya 2023,202,198,114,3,Home
VRS: Campanya 2023,202,160,109,3,Dona
VRS: Campanya 2023,203,106,71,3,Dona
VRS: Campanya 2023,203,108,64,3,Home
VRS: Campanya 2023,204,70,44,4,Home
VRS: Campanya 2023,204,72,47,4,Dona
VRS: Campanya 2023,205,88,54,3,Dona
VRS: Campanya 2023,205,100,56,3,Home
VRS: Campanya 2023,206,124,73,3,Home
VRS: Campanya 2023,206,106,69,3,Dona
VRS: Campanya 2023,207,162,94,3,Dona
VRS: Campanya 2023,207,168,95,3,Home
VRS: Campanya 2023,208,172,105,3,Home
VRS: Campanya 2023,208,200,108,3,Dona
VRS: Campanya 2023,209,56,38,2,Dona
