rep,scenario,method,component,interval_type,true,estimate,lower,upper,se,rhat,ess_bulk,divergences,max_treedepth_hits,shift_rmse,speed_rmse,phi_estimate,beta_time_estimate,error
28,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.926450972116292,-1.05439144439612,-0.79851049983646,0.0652757511631799,,,,,,,,,
28,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.442383091291836,-0.741526757980114,-0.143239424603558,0.152624319738917,,,,,,,,,
29,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.62624295888138,-0.925178977344806,-0.327306940417954,0.152518376767054,,,,,,,,,
29,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.612917124958188,-0.685034401548869,-0.540799848367506,0.0367945288727967,,,,,,,,,
29,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.622369238421016,-0.921155368071589,-0.323583108770443,0.152441902882945,,,,,,,,,
30,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.750945748570272,-1.02224084995897,-0.479650647181569,0.138415868055461,,,,,,,,,
30,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.397171832346884,-0.471248904406832,-0.323094760286937,0.0377944245203814,,,,,,,,,
30,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.749568659684333,-1.02084300987401,-0.478294309494661,0.138405280709017,,,,,,,,,
31,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.435299355017367,-0.645894998417127,-0.224703711617607,0.107446756836612,,,,,,,,,
31,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.49496051871325,-0.564972733086049,-0.42494830434045,0.0357205175371425,,,,,,,,,
31,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.437915753979254,-0.648456236267096,-0.227375271691411,0.107418613412164,,,,,,,,,
32,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.395487845806407,-0.761702426050436,-0.0292732655623787,0.186844173593892,,,,,,,,,
32,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.158760132610568,-0.276519094262734,-0.041001170958402,0.0600811028837581,,,,,,,,,
32,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.394300096429319,-0.760777615817056,-0.027822577041583,0.186978326218233,,,,,,,,,
33,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.5650171024704,-0.944456258305818,-0.185577946634981,0.193591406038479,,,,,,,,,
33,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.29837920726931,-0.418120759519256,-0.178637655019364,0.0610926286989521,,,,,,,,,
33,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.56533459828022,-0.944814411204275,-0.185854785356165,0.193612149451049,,,,,,,,,
34,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.386800538683949,-0.649591969293797,-0.1240091080741,0.134077260515229,,,,,,,,,
34,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.506099598950279,-0.604074578296883,-0.408124619603675,0.0499872343605123,,,,,,,,,
34,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.388140107288694,-0.650980111298184,-0.125300103279204,0.134102042861985,,,,,,,,,
35,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.388157854047536,-0.632956399306431,-0.143359308788641,0.124897216968824,,,,,,,,,
35,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.591382784394885,-0.692419159420216,-0.490346409369554,0.0515491709312911,,,,,,,,,
35,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.387079231487514,-0.631670609759472,-0.142487853215556,0.124791519526509,,,,,,,,,
36,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.646227398650923,-0.821751545065389,-0.470703252236457,0.089553135925748,,,,,,,,,
36,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.406489398216741,-0.503166690253239,-0.309812106180242,0.0493251489982135,,,,,,,,,
36,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.644918693073703,-0.820450260772197,-0.469387125375208,0.0895569222951502,,,,,,,,,
37,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.578208340905667,-0.925917046997698,-0.230499634813636,0.177402401067363,,,,,,,,,
37,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.854391220634748,-0.963259406882271,-0.745523034387225,0.0555449929834302,,,,,,,,,
37,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.580717286650847,-0.928704408125524,-0.232730165176171,0.177544449731978,,,,,,,,,
38,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.663677104943709,-0.930943373929329,-0.396410835958088,0.136360341319194,,,,,,,,,
38,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.767997267758245,-0.879120560146537,-0.656873975369952,0.0566955573409655,,,,,,,,,
38,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.662773286748245,-0.930271446381975,-0.395275127114516,0.136478652874352,,,,,,,,,
39,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.478216103565521,-0.737156835027288,-0.219275372103754,0.132112618092738,,,,,,,,,
39,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.510649600651085,-0.581380661473244,-0.439918539828926,0.0360872759296729,,,,,,,,,
39,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.480688883641805,-0.739419358689709,-0.221958408593901,0.132005344412196,,,,,,,,,
40,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.363314468373498,-0.699840271660883,-0.0267886650861127,0.171696838411931,,,,,,,,,
40,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.6204468798071,-0.703688950203367,-0.537204809410834,0.0424704440797279,,,,,,,,,
40,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.357158977256908,-0.693435838459148,-0.0208821160546667,0.171569827144,,,,,,,,,
41,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.315736462853277,-0.661060819741173,0.0295878940346191,0.176185896371376,,,,,,,,,
41,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.334779057610865,-0.434331490026579,-0.235226625195152,0.0507920573549561,,,,,,,,,
41,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.314563710740585,-0.659725141788966,0.0305977203077967,0.176102770943052,,,,,,,,,
42,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-1.0382808503871,-1.33619402533198,-0.740367675442212,0.151996517829023,,,,,,,,,
42,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.417055525273586,-0.526315053237421,-0.307795997309751,0.0557446571244055,,,,,,,,,
42,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-1.04097053950102,-1.3390782195074,-0.742862859494641,0.152095755105297,,,,,,,,,
43,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.680487825481434,-1.01856737447592,-0.342408276486948,0.172489565813513,,,,,,,,,
43,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.807459821800377,-0.91478347006617,-0.700136173534584,0.0547569634009148,,,,,,,,,
