rep,scenario,method,component,interval_type,true,estimate,lower,upper,se,rhat,ess_bulk,divergences,max_treedepth_hits,shift_rmse,speed_rmse,phi_estimate,beta_time_estimate,modulation_amplitude,sigma_series_estimate,schedule,error
97,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.462586646841667,-0.591703219,-0.33713801025,0.0648719175395349,1.00069454776377,1010.57216790419,0,0,1.79899437788682,0.032851113612172,11.0227928226667,0.0262992340384133,0.0841591181119469,0.117570834311667,short,
98,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.64736854906,-0.91989236975,-0.262365478250001,0.167755800023806,1.00541554796348,392.388976490918,0,0,1.46183504273947,0.0320989405179364,9.16827706608333,0.0393544875609275,0.159243706989209,0.1135245098475,short,
99,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.423975742191667,-0.53557154,-0.28149298925,0.0627256938987101,1.00433433228012,472.554949052562,0,0,1.09438268853184,0.0304960298204734,14.18583788425,-0.061142748025975,0.125631896236359,0.134821585698333,short,
100,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.401081168783333,-0.5079241705,-0.294443843,0.0530220640152135,1.00022140979399,788.390991905377,0,0,2.37962113202139,0.0483132114731118,11.1576656655833,-0.0472061303207833,0.0730725654164287,0.127779971600833,short,
1,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.619659149295,-0.87536240525,-0.298497196250001,0.142343323064006,0.999883842941497,635.553456407709,1,0,1.33295423181882,0.0268307424243243,10.8495270271667,-0.0593637435831417,0.0976142067928276,0.1729045382,short,
2,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.193515551805858,-0.57976495575,0.1699786905,0.191517192477488,1.00449504082012,628.087890757797,0,0,1.73062463696745,0.0119088512342802,12.1399265239167,0.0957093193164092,0.12017638161167,0.121260279235833,short,
3,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.556485676816667,-0.7506325325,-0.35304484825,0.103429490708071,1.0032145281015,484.626839423085,0,0,1.8456087454972,0.0208462643658808,9.57962266241667,-0.0394381597420917,0.0787567217216288,0.152278407751667,short,
4,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.588720030265833,-0.89157000125,-0.27328031975,0.153180927159889,1.00169417997471,637.420013237644,2,0,1.06064897725096,0.0269571127918196,16.399029682,-0.0565651573042917,0.098976463353201,0.157068601798333,short,
5,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.781513091791667,-0.942642603,-0.536336587250001,0.101293824599641,1.00682068327182,498.035887137568,1,0,2.37992487279123,0.0464475578125715,17.4551552009167,-0.0566874624095442,0.105475115141653,0.137746893055,short,
6,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.5826480417315,-0.8179532065,-0.22901881225,0.149388613974715,1.00804253298542,427.86045941341,0,0,1.65077865460183,0.0222923260371103,10.9217642106667,-0.0704909823887753,0.1132446841661,0.1324386146475,short,
